Entity,Code,Date,Total confirmed cases ,,,,,
Angola,AGO,6-Apr-20,14,,,,,
Angola,AGO,7-Apr-20,16,,,,,
Angola,AGO,8-Apr-20,17,,,,,
Angola,AGO,9-Apr-20,19,,,,,
Angola,AGO,10-Apr-20,19,,,,,
Angola,AGO,11-Apr-20,19,,,,,
Angola,AGO,12-Apr-20,19,,,,,
Angola,AGO,13-Apr-20,19,,,,,
Angola,AGO,14-Apr-20,19,,,,,
Angola,AGO,15-Apr-20,19,,,,,
Angola,AGO,16-Apr-20,19,,,,,
Angola,AGO,17-Apr-20,19,,,,,
Angola,AGO,18-Apr-20,19,,,,,
Angola,AGO,19-Apr-20,24,,,,,
